word,example
"versuchen, versucht, versuchte, hat versucht","1. Haben Sie es schon mal mit diesem Mittel versucht? 2. Ich habe immer wieder versucht, Sie zu erreichen. 3. Versuchen Sie doch mal meinen Apfelkuchen."
"der Versuch, -e","1. In der Forschung werden viele Versuche gemacht. 2. Mein Versuch, etwas zu ändern, blieb ohne Erfolg."
"verteilen, verteilt, verteilte, hat verteilt",Kannst du bitte schon mal die Gläser verteilen?
"der Vertrag, ¨-e",Sie beide müssen den Vertrag unterschreiben.
"vertrauen, vertraut, vertraute, hat vertraut",Ich kenne dich gut. Ich vertraue dir.
das Vertrauen,Ich habe Vertrauen zu Ihnen.
"vertreten, vertritt, vertrat, hat vertreten","Wer vertritt Sie, wenn Sie Urlaub machen?"
"der Vertreter, die Vertreterin, -nen","1. Als Herr Dr. Müller in Urlaub war, bin ich zu seiner Vertreterin gegangen. 2. Die Elternvertreter treffen sich morgen Abend in der Schule."
"die Vertretung, -en",Herr Dr. Meyer macht für mich die Vertretung.
"verurteilen, verurteilt, verurteilte, hat verurteilt",Das Gericht hat den Täter zu einer Geldstrafe verurteilt.
"die Verwaltung, -en",Sprechen Sie bitte mit der Verwaltung. Die können Ihnen helfen.
verwandt,Sind Sie mit Frau Meyer verwandt?
"der Verwandte, -n die Verwandte, -n",Zu meinem Geburtstag kommen alle Verwandten.
"verwechseln, verwechselt, verwechselte, hat verwechselt","Entschuldigen Sie, ich habe Sie mit jemandem verwechselt."
"verwenden, verwendet, verwendete, hat verwendet",Dieses Wort wird oft verwendet.
"verzeihen, verzeiht, verzieh, hat verziehen",Das werde ich ihm nie verzeihen können.
Verzeihung,Verzeihung! Ich habe die falsche Nummer gewählt.
"verzichten, verzichtet, verzichtete, hat verzichtet",Ich verzichte heute auf den Kaffee.
"das Video, -s",1. Ich habe den Film auf Video aufgenommen. 2. Lass uns ein Video vom Fest machen!
viel/viele,1. Ich habe schon viel gelernt. 2. Ich wünsche Ihnen viel Spaß. 3. Hier regnet es viel. 4. Das ist mir viel zu teuer. 5. Im Winter sind viele Leute erkältet.
vielleicht,1. Kommst du mit in die Stadt? - Ich weiß noch nicht. Vielleicht. 2. Vielleicht bekomme ich den Job. 3. Die Fahrkarte war vielleicht teuer! 4. Hast du vielleicht Kleingeld für mich?
"das Viertel, - (D, A) → CH: Quartier",Wir wohnen in einem schönen Viertel.
virtuell,Auf dieser Website kann man an einer virtuellen Stadtrundfahrt teilnehmen.
"der Virus, Viren",Ich habe mal wieder einen Virus auf meinem Computer.
"die Visitenkarte, -n",Darf ich Ihnen meine Visitenkarte geben?
"das Visum, Visa",Das Visum ist für drei Monate gültig.
"das Vitamin, -e","Der Arzt sagt, ich soll viele Vitamine essen."
voll,1. Die Flasche ist noch ganz voll. 2. Vor den Feiertagen sind die Züge immer sehr voll. 3. Bitte unterschreiben Sie mit Ihrem vollen Namen.
die Vollzeit,Ich möchte gerne Vollzeit arbeiten.
der Volleyball,Im Sommer spiele ich gern Volleyball.
völlig,Das halte ich für völlig ausgeschlossen.
von,1. Ich komme gerade vom Zahnarzt. 2. Emil ist ein Freund von mir. 3. Haben Sie noch eine Zeitung von heute? 4. Von jetzt an müssen wir sparen. 5. Das Büro ist von 13 bis 15 Uhr
voneinander,Wir haben lange nichts voneinander gehört.
vor,1. Ich bin vor einer Woche zurückgekommen. 2. Das Auto steht vor der Tür. 3. Ich konnte vor Schmerzen nicht schlafen.
vor allem,"Grüßen Sie alle von mir, vor allem Frau Meier."
voraus,1. Gehen Sie schon voraus. 2. Ich danke Ihnen im Voraus für Ihre Mühe.
"die Voraussetzung, -en","1. Gesunde Ernährung ist die Voraussetzung für ein langes Leben. 2. Er will die Arbeit nur unter der Voraussetzung annehmen, dass ihm die Firma eine Wohnung organisiert."
voraussichtlich,Der Zug hat voraussichtlich 20 Minuten Verspätung.
vorbei/vorbei-,1. Die Linie 8 fährt am Krankenhaus vorbei. 2. Keine Sorge! Die Schmerzen sind in ein paar Minuten vorbei. 3. Kommst du um 3 Uhr bei mir vorbei?
"(sich) vorbereiten, bereitet vor, bereitete vor, hat vorbereitet",1. Am Sonntag machen wir ein kleines Fest. Ich muss noch viel dafür vorbereiten. 2. Ich muss mich auf meine Prüfung vorbereiten.
"die Vorbereitung, -en",Nächste Woche beginnen wir mit der Vorbereitung für die Prüfung.
vorder-,In den vorderen Reihen sind noch Plätze frei.
"die Vorfahrt, -en",Achtung! Das Auto rechts hat Vorfahrt!
vorgestern,Er hat mich vorgestern angerufen.
"vorhaben, hat vor, hatte vor, hat vorgehabt",Haben Sie morgen Abend schon etwas vor?
vorher,Ich komme mit ins Café. Vorher muss ich aber noch zur Bank.
vorhin,Vorhin hat Heidrun angerufen. Du sollst sie zurückrufen.
"vorkommen, kommt vor, kam vor, ist vorgekommen",Kein Problem. Das kann vorkommen.
vorläufig,1. Ich habe noch keine Wohnung. Ich wohne vorläufig bei einem Freund. 2. Das ist eine vorläufige Entscheidung.
"vorlesen, liest vor, las vor, hat vorgelesen",Ich lese meinen Kindern oft etwas vor.
"vorn, vorne","1. Bitte vorn beim Fahrer einsteigen! 2. Zwei Kinokarten, bitte. – Wo möchten Sie sitzen, vorne oder hinten? 3. Das war noch nicht ganz richtig. Bitte noch mal von vorne."
"der Vorort, -e",Wir wohnen in einem Vorort von Köln.
"vorschlagen, schlägt vor, schlug vor, hat vorgeschlagen","Ich schlage vor, dass wir eine Pause machen."
"der Vorschlag, ¨-e","Ich mache dir einen Vorschlag: Du hilfst mir beim Deutschlernen, und ich lade dich zum Essen ein."
"die Vorschrift, -en",Beachten Sie bitte die Vorschriften für das Benutzen der Bibliothek.
die Vorsicht,Vorsicht! Der Teller ist heiß.
vorsichtig,"Bitte fahr vorsichtig, die Straße ist glatt."
"(sich) vorstellen, stellt vor, stellte vor, hat vorgestellt",1. So schwierig habe ich mir die Arbeit nicht vorgestellt. 2. Darf ich dir meine Frau vorstellen? 3. Ich möchte mich vorstellen: Mein Name ist Schuster.
"die Vorstellung, -en",Wann läuft der Film? – Die nächste Vorstellung ist um 15 Uhr.
"das Vorstellungsgespräch, -e",Wann hast du dein Vorstellungsgespräch?
"der Vorteil, -e","Der Vorteil von dieser Wohnung ist, dass sie direkt im Zentrum liegt."
"der Vortrag, ¨-e",Ihr Vortrag war sehr interessant.
"die Vorwahl, -en",Wie ist die Vorwahl von Hamburg?
vorwärts,Ich kann nicht vorbei. Bitte fahr noch ein Stück vorwärts.
"der Vorwurf, ¨-e",Eva kann nichts dafür. Mach ihr keine Vorwürfe.
waagerecht,Ziehen Sie bitte einen waagerechten Strich.
wach,1. Bist du schon lange wach? 2. Ich bin gerade wach geworden.
"wachsen, wächst, wuchs, ist gewachsen",1. Mein Sohn ist sehr gewachsen. Er ist jetzt schon größer als ich. 2. Ich will mir die Haare wachsen lassen. 3. In meinem Garten wachsen Tomaten und Kartoffeln.
"der Wagen, -",1. Ich habe meinen Wagen in die Werkstatt gebracht. 2. Im zweiten Wagen befindet sich das Zugrestaurant.
"wählen, wählt, wählte, hat gewählt",1. Sie können wählen: Als Vorspeise gibt es Suppe oder Salat. 2. Sie müssen erst eine Null wählen. 3. Ich habe diese Partei nicht gewählt.
"die Wahl, -en",1. Sie haben die Wahl: mit Vollpension oder Halbpension? 2. Die nächste Wahl ist im Herbst.
wahnsinnig,1. Du fährst viel zu schnell. Bist du wahnsinnig?! 2. Diese Musik gefällt mir wahnsinnig gut.
wahr,"1. Was ich sage, ist wahr. 2. Es ist eine wahre Geschichte. 3. Es ist doch schön hier, nicht wahr?"
"die Wahrheit, -en",Sag mir bitte die Wahrheit. Hast du wieder geraucht?
während,"1. Während ich arbeite, höre ich oft Musik. 2. Während der Prüfung dürfen wir unsere Handys nicht benutzen."
wahrscheinlich,Wahrscheinlich mache ich im Herbst noch einen Deutschkurs.
"der Wald, ¨-er",1. Hinter unserem Haus fängt der Wald an. 2. Ich gehe gern im Wald spazieren.
"die Wand, ¨-e",1. Ich stelle das Regal rechts an die Wand. 2. Die Wände sind hier sehr dünn. Man hört alles.
"wandern, wandert, wanderte, ist gewandert",Wir gehen oft wandern.
"die Wanderung, -en",Wir haben in den Ferien eine schöne Wanderung gemacht.
wann,"1. Wann kommst du? 2. Wissen Sie, wann der Kurs beginnt? 3. Bis wann muss ich mich anmelden? 4. Ab wann haben Sie geöffnet?"
"die Ware, -n",Wir liefern Ihnen die Ware direkt ins Haus.
warm,1. Hier ist es sehr warm. 2. Abends essen wir oft warm. 3. Du musst dich warm anziehen. 4. Mittags möchte ich gern ein warmes Essen. 5. Für den Winter brauche ich einen warmen Pullover.
"die Wärme, -n",Wärme ist gut gegen meine Schmerzen.
"warnen, warnt, warnte, hat gewarnt",Ich warne Sie. Der Hund ist gefährlich.
"warten, wartet, wartete, hat gewartet",1. Können Sie ein paar Minuten warten? 2. Ich warte seit einer Stunde auf den Bus.
warum,"1. Warum besuchst du mich nicht? 2. Ich weiß nicht, warum es hier so kalt ist."
was,"1. Was ist das? 2. Was möchten Sie? 3. Wissen Sie, was das ist? 4. Hast du schon (et)was gegessen?"
was für ein-,Ich will mir ein Auto kaufen. – Was denn für eins?
"(sich) waschen, wäscht, wusch, hat gewaschen",1. Ich habe die Bluse gerade frisch gewaschen. 2. Wo kann ich mir die Hände waschen?
"die Wäsche, -n",1. Ich muss heute noch Wäsche waschen. 2. Kannst du bitte die Wäsche aufhängen?
"das Waschmittel, -",Diese Bluse darfst du nicht mit jedem Waschmittel waschen.
"das Wasser, -","1. Kann ich bitte ein Glas Wasser haben? 2. Eine Cola und zwei Wasser, bitte! 3. Gibt es hier kein warmes Wasser?"
"wechseln, wechselt, wechselte, hat gewechselt",1. Können Sie 50 Euro in Kleingeld/in Dollar wechseln? 2. Kannst du Reifen wechseln? 3. Ich werde den Arzt wechseln. Dieser hier ist zu teuer.
"wecken, weckt, weckte, hat geweckt",Können Sie mich morgen früh um sechs wecken?
"der Wecker, -",Hast du den Wecker schon gestellt?
weder … noch,Für Urlaub haben wir weder Zeit noch Geld.
"der Weg, -e",1. Dieser Weg ist sehr breit und angenehm. 2. Wir wohnen im/am Oberweg 10. 3. Können Sie mir den Weg zum Bahnhof erklären?
weg/weg-,1. Meine Handtasche ist weg! 2. Den Brief darfst du nicht wegwerfen.
wegen,1. Wegen Nebels konnte unser Flugzeug nicht landen. 2. Ich rufe wegen meiner Tochter an.
"wehtun, tut weh, tat weh, hat wehgetan",1. Wo tut es weh? 2. Mir tut der Rücken weh. 3. Hast du dir wehgetan?
weiblich,Kreuzen Sie bitte an: „weiblich“ oder „männlich“.
weich,1. Ich möchte zum Frühstück ein weiches Ei. 2. Das Bett im Hotel war mir zu weich.
"sich weigern, weigert sich, weigerte sich, hat sich geweigert",Ich weigere mich diese Arbeit zu tun.
weil,"Ich kann nicht kommen, weil ich krank bin."
"der Wein, -e",In diesem Restaurant gibt es sehr guten Wein.
"weinen, weint, weinte, hat geweint",Bitte nicht weinen. Du bekommst eine neue Puppe.
-weise,1. War der Test schwierig? – Teilweise. 2. Das ist möglicherweise nicht so einfach.
weit,1. Wie weit ist es noch bis München? 2. Wie weit sind Sie mit der Arbeit? 3. Die Jacke ist mir zu weit.
weiter/weiter-,1. Ich möchte nicht stören. Bitte essen Sie ruhig weiter. 2. Haben Sie noch weitere Fragen?
"die Weiterbildung, -en",Ich möchte eine Weiterbildung machen.
"welcher, welche, welches",1. Welcher Tag ist heute? 2. Welchen Kurs hast du gemacht?
"die Welt, -en",1. Überall auf der Welt gibt es Probleme. 2. Ich habe die besten Eltern der Welt.
weltweit,1. Unsere Firma produziert für den weltweiten Markt. 2. Das Zertifikat B1 wird weltweit angeboten.
"wenden, wendet, wendete, hat gewendet","Sie müssen zurückfahren, aber hier dürfen Sie nicht wenden."
wenig/wenige,1. Essen Sie immer so wenig? 2. Ich habe nur wenig geschlafen. 3. Hier gibt es nur wenige Geschäfte.
wenigstens,"Ich habe keinen Hunger. – Ach, essen Sie wenigstens ein Stück Kuchen."
wenn,"Kommst du zu der Party? - Vielleicht, wenn ich nicht arbeiten muss."
wer,1. Wer ist das? Kennst du die Frau? 2. Wer will die Prüfung machen?
"die Werbung, -en",1. Ich sehe gern Werbung im Fernsehen. 2. Ich möchte keine Werbung im Briefkasten.
"werden, wird, wurde, ist geworden","1. Es wird kalt. 2. Ich habe morgen Geburtstag. − Wie alt wirst du denn? 3. Warum fährst du so schnell? Bist du verrückt geworden?! 4. Mein Sohn möchte Polizist werden. 5. Wohin fahren Sie in Urlaub? – Ich glaube, wir werden dieses Jahr zu Hause bleiben."
"werfen, wirft, warf, hat geworfen",Die Kinder haben Steine ins Wasser geworfen.
"das Werk, -e",Wir haben gestern das Werk besichtigt.
"die Werkstatt, ¨-en",Mein Wagen ist zurzeit in der Werkstatt.
"das Werkzeug, -e",Wir hatten kein Werkzeug für die Reparatur dabei.
wert,Das Auto ist vielleicht noch 1000 Euro wert.
"der Wert, -e",1. Das Haus hat einen Wert von ca. 1 Mio. Euro. 2. Es hat ja doch keinen Wert. 3. Auf Ihr Urteil lege ich großen Wert.
wertlos,Diese alten Geldscheine sind heute völlig wertlos.
wertvoll,Ich habe einen sehr wertvollen Ring von meiner Großmutter.
weshalb,"1. Weshalb rufst du an? 2. Ich bekomme Besuch, weshalb ich leider nicht zur Party gehen werde."
"der Wettbewerb, -e",Meine Tochter hat bei einem Wettbewerb gewonnen. Sie hat das beste Bild gemalt.
"wetten, wettet, wettete, hat gewettet","1. Wir haben gewettet, dass sie wieder zu spät kommt. 2. Wetten, dass es bald regnet?"
das Wetter,1. Ich habe Radio gehört. Das Wetter soll schön werden. 2. Wir hatten im Urlaub schlechtes Wetter. 3. Bei schönem Wetter könnten wir ein Picknick machen.
"der Wetterbericht, -e",Hast du schon den Wetterbericht gehört?
"die Wettervorhersage, -n",Die Wettervorhersage für morgen: trocken und sonnig.
wichtig,1. Die Prüfung ist sehr wichtig für mich. 2. Morgen habe ich einen wichtigen Termin.
"widersprechen, widerspricht, widersprach, hat widersprochen",1. Da muss ich Ihnen widersprechen. 2. Das widerspricht sich aber.
wie,1. Wie heißt du? 2. Wie lange bist du schon hier? 3. Meine Frau ist so alt wie ich. 4. Wie schreibt man das? 5. Wie bitte? 6. Wie gefällt dir unsere Wohnung?
wieder/wieder-,1. Wann kommst du wieder? 2. Meine Mutter war krank. Jetzt ist sie aber wieder gesund. 3. Mein Bruder kommt schon wieder zu spät. 4. Meine Eltern sind zu Besuch gekommen. Morgen fahren sie wieder zurück.
"wiederholen, wiederholt, wiederholte, hat wiederholt",Ich wiederhole: Die Nummer ist 3487.
"die Wiederholung, -en",Eine Wiederholung der Prüfung ist möglich.
"wiegen, wiegt, wog, hat gewogen",1. Wie viel wiegst du? 2. Der Brief wiegt mehr als 20 Gramm.
wild,1. Das ist ein wilder Fluss. 2. Spielt nicht so wild!
"die Wiese, -n",Vor unserem Haus ist eine Wiese mit Bäumen.
wieso,Wie lange sind Sie hier? – Wieso fragen Sie?
wie viel(e),1. Wie viel Geld hast du dabei? 2. Wie viel ist ein Euro hier wert? 3. Wie viele Kinder haben Sie?
willkommen,Herzlich willkommen in Köln.
"der Wind, -e",Der Wind kommt heute von Westen.
windig,Es ist heute sehr windig.
"winken, winkt, winkte, hat gewinkt",Alle standen auf dem Bahnsteig und winkten zum Abschied.
"wirken, wirkt, wirkte, hat gewirkt",Die Tabletten haben nicht gewirkt.
"die Wirkung, -en",Welche Wirkungen hat dieses Medikament? Muss ich vorsichtig sein?
wirklich,1. Du glaubst mir nicht? Es ist aber wirklich so. 2. Im Bahnhofsrestaurant isst man wirklich sehr gut.
die Wirklichkeit,"1. Das Buch beschreibt die Wirklichkeit um 1900 sehr gut. 2. Man sagte mir, das Buch kostet nur 9 Euro. In Wirklichkeit kostet es 14 Euro."
"der Wirt, -e die Wirtin, -nen",Ich kenne die Wirtin von diesem Lokal. Sie ist sehr nett.
"die Wirtschaft, -en",In der Schule lernen die Kinder viel über Wirtschaft und Politik.
"wissen, weiß, wusste, hat gewusst","1. Weißt du, wie der Hausmeister heißt? 2. Ich habe nicht gewusst, dass Pascal verheiratet ist. 3. Woher wissen Sie das?"
das Wissen,1. Es hat ein großes Wissen über Pflanzen. 2. Ich tue nichts ohne dein Wissen.
"die Wissenschaft, -en",Vertreter von Kunst und Wissenschaft treffen sich heute in Berlin.
"der Wissenschaftler, die Wissenschaftlerin, -nen",Sie ist Wissenschaftlerin an der Universität.
"der Witz, -e",Wir haben Witze erzählt und viel gelacht.
wo,1. Wo waren Sie im Urlaub? 2. Wo wohnen Sie? 3. Wo ist denn meine Uhr?
woher,1. Woher kommst du? 2. Unsere Nachbarn ziehen nach Berlin. – Woher wissen Sie das?
wohin,1. Wohin kommt der Schrank? 2. Wohin fährt dieser Bus?
wohl,1. Kann ich nach Hause gehen? Ich fühle mich nicht wohl. 2. Das wird wohl etwas länger dauern als geplant.
"wohnen, wohnt, wohnte, hat gewohnt",1. Wir wohnen in einem alten Haus. 2. Ich wohne in München. 3. Wohnst du noch bei deinen Eltern?
"der Wohnort, -e",Tragen Sie bitte Straße und Wohnort ein.
"der Wohnsitz, -e",Er hat einen festen Wohnsitz in dieser Stadt.
"die Wohnung, -en","Wir suchen eine möblierte Wohnung, möglichst im Zentrum."
"das Wohnzimmer, -",Wir sitzen im Wohnzimmer und sehen fern.
"die Wolke, -n",Es sind viele Wolken am Himmel.
bewölkt,Heute ist es stark bewölkt.
die Wolle,Dieser Pullover ist aus reiner Wolle.
"wollen, will, wollte, hat gewollt (hat wollen als Modalverb)",1. Peter will Arzt werden. 2. Wollen Sie einen Kaffee? 3. Meine Eltern wollten nicht mitfahren. 4. Was hast du als Kind werden wollen? 5. Tut mir leid. Ich wollte das nicht.
worüber,Worüber lachen Sie?
worum,Kann ich Herrn Meier sprechen? – Worum geht es denn?
"das Wort, ¨-er",Ich kenne diese beiden Wörter nicht.
"das Wort, -e",Sie hat mit wenigen Worten viel gesagt.
"das Wörterbuch, ¨-er",Ich muss das Wort im Wörterbuch nachschlagen.
"die Wunde, -n",Die Wunde müssen wir sofort verbinden.
"das Wunder, -","1. Ich bin mit dem Fahrrad gestürzt. Es war ein Wunder, dass nichts Schlimmes passiert ist. 2. Du isst zu viel Schokolade. Kein Wunder, dass die Hose nicht mehr passt."
wunderbar,1. Im ganzen Urlaub hatten wir wunderbares Wetter. 2. Diese Schokolade schmeckt wunderbar.
wunderschön,1. Wir haben einen Ausflug gemacht. Es war wunderschön. 2. Ich habe mir ein wunderschönes Kleid gekauft.
"sich wundern, wundert sich, wunderte sich, hat sich gewundert","1. Es hat mich gewundert, dass das Essen hier so günstig ist. 2. Ich wundere mich, dass du schon so früh aus der Schule kommst. Was ist los?"
"(sich) wünschen, wünscht, wünschte, hat gewünscht",1. Ich wünsche Ihnen alles Gute. 2. Was wünschst du dir zum Geburtstag? 3. Wünsch mir Glück!
